nodePartenza,NameNft,Hop,NumeroNodi,repliche,KsizeBucket,time_ms,alpha
node25,Jungle Cats,3,40,0,3,4,5
node34,SOL Parasite,3,40,0,3,5,5
node17,SamurAI,3,40,0,3,5,5
node18,Music Legends,2,40,0,3,3,5
node24,Belugies,1,40,0,3,1,5
node18,KORAL KLVB,2,40,0,3,2,5
node1,Leonardo Glauso,-1,40,0,3,1,5
node10,Compendi-Pigs,2,40,0,3,3,5
node23,SPACE APES CLUB,3,40,0,3,4,5
node26,69 Pussy Cats,3,40,0,3,5,5
node40,Yuki,3,40,0,3,5,5
node28,GiaTwo Doll N,2,40,0,3,2,5
node12,Lia Moonrise,3,40,0,3,4,5
node8,SOL CASH NFT,3,40,0,3,5,5
node13,The Fracture: SOLgods Prestige Collection,3,40,0,3,5,5
node29,Pyramids,3,40,0,3,4,5
node39,Space Sharks,3,40,0,3,5,5
node35,Boneworld,2,40,0,3,3,5
node37,Solarmy,2,40,0,3,2,5
node20,Naughty Fingers,2,40,0,3,2,5
node39,DookuSociety,1,40,0,3,1,5
node39,00GA Studios: Solarnauts,3,40,0,3,4,5
node19,Jake Nordstrum,3,40,0,3,4,5
node30,Bladius,3,40,0,3,5,5
node6,Pug Party,3,40,0,3,5,5
node17,dark art,2,40,0,3,2,5
node10,HachiVerse,2,40,0,3,3,5
node1,SolDuckNFTs,-1,40,0,3,1,5
node8,Stickmen of the StickVerse,3,40,0,3,6,5
node14,Solonsters,1,40,0,3,1,5
node22,holiday astro pepes,2,40,0,3,2,5
node15,ULTIMUM,2,40,0,3,3,5
node17,SolYetis,1,40,0,3,1,5
node31,Fantasy Beach Club,3,40,0,3,5,5
node22,The Mighty Veggies,3,40,0,3,4,5
node2,Mighty Orc,3,40,0,3,4,5
node2,Pixel Puffins,3,40,0,3,5,5
node29,Numbers,2,40,0,3,2,5
node22,CyberTrolls,2,40,0,3,2,5
node6,Mowjood Snapback,3,40,0,3,5,5
node30,Andresinho Camacho 1,3,40,0,3,5,5
node3,HappyHappies,2,40,0,3,2,5
